table_name,column_name,data_type,character_maximum_length,is_nullable,column_default,key_type,foreign_key,ordinal_position
builds,id,integer,null,NO,nextval('builds_id_seq'::regclass),PRIMARY KEY,,1
builds,name,character varying,255,NO,null,,,2
builds,categories,ARRAY,null,NO,null,,,3
builds,created_at,timestamp with time zone,null,YES,now(),,,4
builds,updated_at,timestamp with time zone,null,YES,now(),,,5
builds,auto_refresh,boolean,null,YES,true,,,6
builds,product_overrides,jsonb,null,YES,'{}'::jsonb,,,7
keyword_groups,id,integer,null,NO,nextval('keyword_groups_id_seq'::regclass),PRIMARY KEY,,1
keyword_groups,search_config_id,integer,null,NO,null,,FOREIGN KEY -> search_configs.id,2
keyword_groups,keywords,text,null,NO,null,,,3
keyword_groups,created_at,timestamp with time zone,null,YES,now(),,,4
prices,id,integer,null,NO,nextval('prices_id_seq'::regclass),PRIMARY KEY,,1
prices,product_id,integer,null,NO,null,,FOREIGN KEY -> products.id,2
prices,price,numeric,null,NO,null,,,3
prices,collected_at,timestamp with time zone,null,YES,now(),,,4
products,id,integer,null,NO,nextval('products_id_seq'::regclass),PRIMARY KEY,,1
products,name,character varying,500,NO,null,,,2
products,website,character varying,100,NO,null,,,3
products,category,character varying,100,NO,null,,,4
products,product_link,text,null,YES,null,,,5
products,created_at,timestamp with time zone,null,YES,now(),,,6
products,updated_at,timestamp with time zone,null,YES,now(),,,7
search_configs,id,integer,null,NO,nextval('search_configs_id_seq'::regclass),PRIMARY KEY,,1
search_configs,search_text,character varying,255,NO,null,,,2
search_configs,category,character varying,100,NO,null,,,3
search_configs,website,character varying,50,NO,null,,,4
search_configs,is_active,boolean,null,YES,true,,,5
search_configs,created_at,timestamp with time zone,null,YES,now(),,,6
search_configs,updated_at,timestamp with time zone,null,YES,now(),,,7